SMILES CHEMBL_ID RTB
CN1C[C@H]2[C@@H](c3ccccc31)[C@@H](CO)N2C(=O)C1CCOCC1 CHEMBL3183816 2
Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)c2n1 CHEMBL2093967 2
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1cc2c(cc13)OCN(Cc1ccccc1)C2 CHEMBL576065 2
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(NC(=O)Nc5ccccc5N)C[C@H]4[C@]3(C)CC[C@@]21C CHEMBL4215659 2
CN1CC[C@]23CC(=O)[C@@H](CC(=O)N4CCC(O)CC4)C[C@@]2(O)[C@H]1Cc1ccc(O)cc13 CHEMBL3925461 2
C=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C CHEMBL101510 2
C[C@H]1CN2C[C@@H](c3ccccc3)NC[C@H]2C[C@@]1(C)c1cccc(O)c1 CHEMBL218506 2
COC(=O)C1=CO[C@@H]2O[C@H]3/C(=C\c4ccc(O)cc4)C(=O)O[C@]34C=C[C@H]1[C@H]24 CHEMBL250261 2
OC[C@H]1O[C@@H](n2ccc3c(S)ncnc32)[C@H](O)[C@@H]1O CHEMBL439437 2
CN(C)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC3CC3)[C@@H]3OCC4=CC(=O)CCC4=C32)cc1 CHEMBL428011 2
NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3ccc(F)c(F)c3)C[C@H]2CS1 CHEMBL3943095 2
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](Cc4ccccc4)[C@H]3[C@@H]1CC[C@@H]2O CHEMBL1627984 2
CC1=CC(=O)[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C1=C[C@H]2O[C@H]1[C@H]1C(=O)OC(=O)[C@H]12 CHEMBL1091619 2
CNc1nc(C#Cc2ccccc2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21 CHEMBL2089335 2
C[C@]12C[C@H](O)CC(CO)(CO)C1[C@H](O)C[C@@]13CC4[C@@H](CC12)[C@@]4(C)C3 CHEMBL1329223 2
CC1=C(C)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)CC[C@@H](O)[C@]6(C)[C@H]4CC[C@@]32C)C1 CHEMBL4217124 2
C=C(C)[C@H]1C(=O)c2c3c(cc4c5c(n1c24)[C@@]1(C)C(CC[C@H]2[C@](C)(C=O)[C@@H](O)CC[C@@]21C)C5)C1=CC(C)(C)OC(C)(C)C1[C@@H]3O CHEMBL75815 2
COc1ccc2c(c1OC)[C@@]13C=C(C#N)CC[C@@]1(O)[C@@H](C2)N(C)CC3 CHEMBL607350 2
