doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL1212923	[#6,#7,#8]-,=;!@[#6](=,-;!@[#8,#6,#7])-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6,#7]:&@[#6]:&@[#6,#7]:&@[#6]:&@1	0.6546583850931676
CHEMBL1671812	[#6]1:&@[#6]:&@[#6](-&!@[#6]=,-;!@[#6]2-&@[#16]-&@[#6](-&@[#7]-&@[#6]-&@2=&!@[#8])=&!@[#8]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7464920486435921
CHEMBL1671841	[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6](=&!@[#8]):&@[#8]:&@[#6]2:&@[#6]:&@1:&@[#6](:&@[#7]:&@[#6](:&@[#7]:&@2)-&!@[#16,#6])=&!@[#8]	0.7524012806830309
CHEMBL1781999	[#6,#17]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6,#8]):&@[#7]2:&@[#6](:&@[#7]:&@1):&@[#7]:&@[#6]:&@[#7]:&@2	0.5746209098164405
CHEMBL1795332	[#6]-&!@[#7]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1=,-;!@[#8,#6])-&!@[#6]1-&@[#6]-&@[#6]-&@[#7]-&@[#6]-&@[#6]-&@1-&!@[#6](=&!@[#8])-&!@[#7](-&!@[#6]-&!@[#6])-&!@[#6]1-&@[#6]-&@[#6]-&@1	0.6106399383191982
CHEMBL1806459	[#6]-&!@[#6,#7,#8]-&!@[#6]1:&@[#7,#6]:&@[#6](-&!@[#7,#6,#8,#17]):&@[#6,#7]:&@[#7,#6]:&@[#6]:&@1-&!@[#6,#7,#8,#16]	0.3853690398432397
CHEMBL1806486	[#6]-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6](:&@[#7]:&@[#7]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#7]-&!@[#16,#6](=,-;!@[#8,#6])-,=;!@[#6,#7,#8]	0.4742807323452485
CHEMBL1811851	[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#7,#8]-&!@[#6]1:&@[#7,#6]:&@[#6]:&@[#7,#6]:&@[#6](:&@[#7,#6]:&@1)-&!@[#7]1-&@[#6]-&@[#6]-&@[#6,#7]-,:;@[#6]-&@[#6]-&@1	0.7471466198419666
CHEMBL1817582	[#8]=&!@[#6](-&!@[#6]=&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#7]-&!@[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#7]:&@[#6,#7]2:&@[#6,#7]:&@1:&@[#6,#7]:&@[#6,#7]:&@[#6,#7]:&@[#6,#7]:&@2)-&!@[#7]-&!@[#8]	0.8727477477477478
CHEMBL1828590	[#6,#7]-,=;!@[#6,#7]-&!@[#6]-&!@[#6]-&!@[#6,#7]1:&@[#7,#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@[#6,#7]:&@[#7,#6]:&@1-&!@[#6])-&!@[#6]=&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#8]	0.7391910739191073
CHEMBL1909618	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#6](-&!@[#6])(-&!@[#6])-&!@[#6]-&!@[#6](-&!@[#8])(-&!@[#6]-&!@[#6]1:&@[#6,#7]:&@[#6]2:&@[#6](:&@[#7,#6]:&@1):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9])-&!@[#9,#6,#16,#35]	0.8646694214876033
CHEMBL1914403	[#6]-&!@[#6]1:&@[#7]:&@[#6](:&@[#6]2:&@[#7]:&@1:&@[#6]1:&@[#7,#6]:&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@1:&@[#7]:&@[#6]:&@2-&!@[#6])-&!@[#8,#6,#7,#9,#17])-&!@[#6]	0.6666666666666666
CHEMBL1921678	[#6,#7,#8]-,=;!@[#7,#6]-&!@[#6](-,=;!@[#6,#7,#8])-&!@[#6,#7]1-&@[#6]-&@[#6]-&@[#7,#6](-&@[#6]-&@[#6]-&@1)-&!@[#6](=,-;!@[#8,#6,#7])-&!@[#6,#7]	0.346563981042654
CHEMBL1938250	[#6]-&!@[#6](-&!@[#7,#6]-&!@[#6](=&!@[#8])-&!@[#6,#7]-&!@[#6]-&!@[#7,#6]1-,:;@[#6]-,:;@[#6]-,:;@[#6](-,:;@[#6]-,:;@[#6]-,:;@1)-&!@[#6,#17])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@[#6,#7]:&@1	0.6127770534550196
CHEMBL1949493	[#8,#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7]1:&@[#6](-&!@[#6]-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#35,#6,#7,#8,#9,#17]	0.7364729458917835
CHEMBL2010768	[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#16]:&@1)-&!@[#7]1:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.8127753303964759
CHEMBL2029277	[#8,#6]=,-;!@[#6]1:&@[#7,#6]:&@[#6]:&@[#7,#6]:&@[#6]2:&@[#6]:&@1:&@[#8]:&@[#6]1:&@[#6]:&@2:&@[#6,#7]:&@[#6](:&@[#6,#7]:&@[#6]:&@1)-&!@[#35,#6,#8,#17]	0.6997084548104956
