smiles target_chembl_id target_index
COC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(s4)C(=N)N CHEMBL204 0
COC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(nc4)C(=N)N CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(=O)O)C(c3ccccc3)c4ccccc4)s1 CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(=O)O)C(c3ccccc3)c4ccccc4)cc1 CHEMBL204 0
CS(=O)(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(s4)C(=N)N.NC(=N)c5ccccc5 CHEMBL204 0
CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H]3CC[C@@H](N)CC3)C(=O)C(=O)NC CHEMBL204 0
N[C@H](C(C1CCCCC1)C2CCCCC2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(N)nc4 CHEMBL204 0
CC1=CN=C(NCCc2ccccc2)C(=O)N1CC(=O)NCc3ccc(N)nc3C CHEMBL204 0
CCNC(=O)COc1ccc(Cl)cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@H](N)C3CCCCC3 CHEMBL204 0
CCNC(=O)COc1ccc(Cl)cc1CNC(=O)CN2C(=CN=C(NCCc3ccccc3)C2=O)C CHEMBL204 0
CCNC(=O)COc1ccc(Cl)cc1CNC(=O)CN2C(=CC=C(NS(=O)(=O)Cc3ccccc3)C2=O)C CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3ccc(N)nc3C CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3ccc(cc3)C(=N)N CHEMBL204 0
CC1=CN=C(NCCc2ccccc2)C(=O)N1CC(=O)NCc3ccc(N)nc3C CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NC[C@@H]3CNC(=NC3)N CHEMBL204 0
CC1=CN=C(NCCc2ccccc2)C(=O)N1CC(=O)NCc3ccc(cc3)C(=N)N CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3ccc(s3)C(=N)N CHEMBL204 0
NC(=N)NCCC[C@@H](NC(=O)CN1C=CC=C(NS(=O)(=O)Cc2ccccc2F)C1=O)C(=O)O CHEMBL204 0
COC(=O)c1ccc(F)cc1CS(=O)(=O)NC2=CC=C(C)N(CC(=O)N[C@H](CCCN=C(N)N)C(=O)O)C2=O CHEMBL204 0
CC1=CN=C(NCCc2ccccc2)C(=O)N1CC(=O)NCc3ccc(s3)C(=N)N CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2F)C(=O)N1CC(=O)N[C@H](CCCN=C(N)N)C(=O)O CHEMBL204 0
CC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)B(O)O CHEMBL204 0
