molregno	chembl_id	smiles
81055	CHEMBL53269	CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)[N+](=O)[O-]
81056	CHEMBL53270	[O-][N+](=O)c1cc(ccc1Cl)C(=O)c2ccccc2
81527	CHEMBL298175	CC(=O)Nc1cccc2c(cn(C)c12)C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45
81855	CHEMBL298818	O=C1NCC(=C1c2c[nH]c3ccccc23)c4c[nH]c5ccccc45
82312	CHEMBL53050	CC(=O)N[C@@H]1[C@@H](N)CC(=C[C@H]1OCC=C)C(=O)O
82372	CHEMBL299003	C[C@@H](COc1ccc(Oc2ccccc2)cc1)SC#N
82542	CHEMBL431133	Cn1cc(C2=C(C(=O)NC2=O)c3cccc(Br)c3)c4ccccc14
84496	CHEMBL300805	COC(=O)[C@]12CCC(C)(C)CC1C3=CC[C@H]4[C@@](C)(CCC5=CC(=O)C=C[C@]45C)[C@]3(C)CC2
84640	CHEMBL54681	CCN(CC)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C3)C(=O)N(CC)CC)cc2)C1
85556	CHEMBL59430	OC(=O)CC\N=C\1/C=CN(Cc2ccccc2Cl)c3cc(Cl)ccc13
86003	CHEMBL56429	CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(O)c1)C(C)C)C(=O)N[C@@H](CO)C(=O)O
86311	CHEMBL297287	Cc1onc2C(=O)N(CC(=O)O)N=C(c3cccc(c3)[N+](=O)[O-])c12
86434	CHEMBL57356	Cc1onc2C(=O)N(CC(=O)O)N=C(c3ccccc3)c12
86568	CHEMBL299686	CO[C@@H]1O[C@H](COC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1OC(=O)\C=C\c3ccc(O)c(O)c3
86930	CHEMBL56988	CC(=O)C1=C(NCCc2ccccc2)C(=O)N(CC(=O)O)N=C1c3ccccc3
87674	CHEMBL57722	COc1ccc(OCCCN(C)CCOc2ccc3OCOc3c2)c(c1)C4CN(C)c5ccccc5S4
87757	CHEMBL56192	CC(C)[C@H](NC(=O)[C@H](CS)NC(=O)C)C(=O)N
87860	CHEMBL291511	CC(c1cccc(O)c1)n2cnc3c(O)ncnc23
88312	CHEMBL56917	COc1ccc(cc1OC)[C@H]2O[C@@H]([C@@H](C)[C@@H]2C)c3ccc(OC)c(OC)c3
89895	CHEMBL57998	Oc1c(O)c(Br)c2C(=O)c3c(O)c(O)c(O)c(Br)c3C(=O)c2c1O
90098	CHEMBL435373	CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C/2=C/C(F)(F)F
90110	CHEMBL293269	Cc1ccnc(NS(=O)(=O)c2ccccc2[N+](=O)[O-])n1
90756	CHEMBL60517	COC(=O)c1cc(O)cc(O)c1C(=O)c2c(OC)cc(C)cc2OC
90872	CHEMBL61150	COc1cc(O)cc(C(=O)O)c1C(=O)c2c(O)cc(C)cc2O
91124	CHEMBL301660	NC(=N)c1ccc(cc1)C(=O)NCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O
91334	CHEMBL59240	O=C1C=C(c2ccccc2C1=O)c3cccc4ccccc34
91338	CHEMBL59012	NC(=N)Nc1ccc(cc1)C(=O)NCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)O
91379	CHEMBL301436	OC(=O)COc1ccc(CC2=C(c3ccccc3)c4ccccc4C(=O)C2=O)cc1
91398	CHEMBL58812	CC(C)C[C@H](S)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
