doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL3351923	[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1)-&@[#6]1(-&@[#6]-&@[#8]-&@[#6](=&@[#7]-&@1)-&!@[#7])-&@[#6]1:&@[#6](-&@[#8]-&@2):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6]	0.6228373702422144
CHEMBL3351932	[#6]-&!@[#7]1:&@[#6](-&!@[#6]):&@[#6](:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1(-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#6]=&!@[#6]-&!@[#6](=&!@[#8])-&!@[#8])-&@[#6]-&@[#6]-&@[#6]-&@1)-&!@[#6]1-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1	0.821685173089484
CHEMBL3351481	[#6]1:&@[#6]:&@[#6](-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@1	0.22357414448669202
CHEMBL3351614	[#6]-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#7]:&@[#7](:&@[#6]2:&@[#6]:&@1-&@[#6]-&@[#6]1-&@[#6]-&@2-&@[#6]-&@1)-&!@[#6]	0.5707964601769911
CHEMBL3352511	[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6](:&@[#7]:&@[#6]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#7]:&@[#6](:&@[#7]:&@1)-&!@[#7]	0.8058690744920993
CHEMBL3352578	[#6]-&!@[#6]-&!@[#7]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1=&!@[#8])-&!@[#6]	0.3950617283950617
CHEMBL3352261	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#7]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.5233494363929146
CHEMBL3351303	[#7]1:&@[#6]:&@[#7](:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.4263322884012539
CHEMBL3392969	[#6]1=,:;@[#6]-&@[#6](-&!@[#6])-&@[#6]:,=;@[#6]-&@[#7]-&@1	0.20805812417437253
CHEMBL3414522	[#8]=&!@[#6](-&!@[#7]-&!@[#8])-&!@[#6]1(-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&@[#6]-&@[#6]-&@[#6]2(-&@[#6]-&@1)-&@[#6]-&@[#6]-&@[#7]-&@[#6]-&@[#6]-&@2	0.6895551257253385
CHEMBL3421625	[#8]=&!@[#6](-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]1-&@[#6]-&@[#6]-&@[#7]2:&@[#6](-&@[#6]-&@1):&@[#7]:&@[#7]:&@[#6]:&@2-&!@[#6]	0.6434782608695653
CHEMBL3425511	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1):&@[#7]:&@[#6](:&@[#7]:&@2)-&!@[#6]#,-,=;!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7506944444444444
CHEMBL3580651	[#6]-&!@[#6]1:&@[#6]:&@[#7]:&@[#6](:&@[#7]:&@1)-&!@[#6]1-&@[#6]-&@[#6]2:&@[#6](-&@[#6]-&@[#7]-&@1):&@[#7]:&@[#6]1:&@[#6]:&@2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.5202086049543676
CHEMBL3580554	[#6]-&!@[#6](-&!@[#6](=&!@[#8])-&!@[#7]1-&@[#6]-,=;@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]1-&@[#6](=&!@[#8])-&@[#6]-&@[#6]-&@[#6]-&@1=,-;!@[#8]	0.9117647058823529
CHEMBL3603755	[#6]-&!@[#7]1-&@[#6]-&@[#6]2:&@[#6](-&@[#6]-&@1=&!@[#8]):&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6](-&!@[#7])=&!@[#8]	0.5626255860683188
CHEMBL3611997	[#6](-,=;!@[#6]=,-;!@[#6]-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.4732824427480916
